"SHCODE","YEAR","N0F15","PRIF15","PRICF15","SECF15","SECCF15","HIGHF15","HIGHCF15","TYRF15","PYRF15","SYRF15","HYRF15"
83,1960,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.6,0.5,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.02
83,1965,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.5,0.4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.02
83,1970,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.5,0.4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.02
83,1975,52.7,23.3,9.4,23.4,7.1,0.5,0.3,3.38,2.42,0.95,0.02
83,1980,47.3,26.7,10.8,25.5,7.8,0.5,0.3,3.73,2.68,1.03,0.02
83,1985,42.2,30.4,12.3,26.9,8.4,0.5,0.3,4.03,2.93,1.09,0.02
83,1990,37.3,33.3,13.4,28.8,9.2,0.6,0.4,4.37,3.17,1.18,0.02
84,1960,51.6,32.5,13.1,13.6,5.6,2.3,0.9,3.34,2.32,0.95,0.06
84,1965,43.9,33.6,17.4,19.4,9.6,3,1.2,4.33,2.87,1.37,0.08
84,1970,37.2,36.1,20.5,25.3,14.5,1.3,0.3,4.98,3.3,1.65,0.03
84,1975,31.6,36.2,17.2,30.3,17.9,1.9,0.5,5.59,3.53,2,0.05
84,1980,25.5,31.4,19.6,38,23.4,5.1,1.9,6.98,4.11,2.72,0.14
84,1985,21.6,27.6,14.8,45,21.1,5.8,2.1,7.56,4.32,3.08,0.16
84,1990,18.6,24.3,12.9,47.7,32.3,9.4,3.7,8.5,4.54,3.69,0.26
85,1960,86.8,12.1,4.1,0.8,0.1,0.3,0.1,0.79,0.73,0.04,0.01
85,1965,85.7,13,4.2,0.9,0,0.4,0.2,0.86,0.79,0.05,0.01
85,1970,81.1,15.9,5.3,2.5,0.2,0.4,0.1,1.19,1.08,0.1,0.01
85,1975,76.9,18.5,6.2,3.6,0.5,0.9,0.2,1.56,1.35,0.18,0.02
85,1980,79.6,8.8,3,10.4,2.4,1.2,0.3,1.89,1.4,0.45,0.03
85,1985,74.3,12.5,4.3,11.5,2.5,1.7,0.7,2.3,1.73,0.52,0.05
