"SHCODE","YEAR","N0M25","PRIM25","PRICM25","SECM25","SECCM25","HIGHM25","HIGHCM25","TYRM25","PYRM25","SYRM25","HYRM25"
62,1970,23.9,52.4,14.7,18.6,9.3,5.2,3.5,4.75,3.44,1.15,0.17
62,1975,23.1,52.7,17.8,18.7,8.7,5.5,3.7,4.9,3.57,1.15,0.18
62,1980,17.5,51.2,23.3,22.6,10.8,8.8,5.9,5.94,4.12,1.53,0.29
62,1985,18.2,49.1,17.8,21.3,10.4,11.3,7.5,5.96,3.96,1.63,0.38
62,1990,12,43.6,22.9,28.2,15.3,16.1,10.7,7.47,4.66,2.27,0.54
65,1960,10.2,74.3,18.4,13.8,3.9,1.7,1.2,4.66,3.71,0.89,0.06
65,1965,5,80.4,20.6,12.9,3.5,1.6,1.1,4.78,3.9,0.83,0.05
65,1970,7.8,77,21.5,13.4,3.4,1.8,1.2,4.8,3.87,0.87,0.06
65,1975,9,73,26,15.9,3.5,2.1,1.4,5.14,4.06,1.02,0.07
65,1980,1.3,71.7,42.8,22.9,3.9,3.9,2.6,6.67,5.04,1.5,0.13
65,1985,3.9,66.5,25.1,25.3,4.8,4.3,2.9,6.33,4.52,1.66,0.14
65,1990,6.3,61,18,28.3,5.8,4.4,3,6.32,4.33,1.84,0.15
66,1960,2.4,39.3,17.7,39.9,16.4,18.3,11.8,8.59,5.2,2.79,0.6
66,1965,2.1,38,29,38.9,17.4,20.9,13.4,9.22,5.59,2.94,0.69
66,1970,1.6,33.9,29.5,40.3,20.4,24.2,15.6,9.84,5.77,3.27,0.8
66,1975,0.7,32.5,20.6,37.5,22.3,29.3,18.9,10.12,5.6,3.55,0.96
66,1980,1,6.6,3.7,60.7,44.9,31.7,20.6,11.97,5.85,5.07,1.05
66,1985,1.5,7.8,3.9,55.5,34.6,35.2,23,11.77,5.79,4.81,1.16
66,1990,0.3,10.8,5.1,33.3,17.7,55.4,35.4,12.47,5.8,4.85,1.82
67,1960,10.5,72.6,19,12.6,4.5,4.3,2.5,5.2,4.38,0.68,0.14
67,1965,11,71.2,21.2,12.1,4,5.7,3.3,5.39,4.48,0.73,0.18
67,1970,7.1,71.5,29.7,16,5.2,5.5,3.2,6.08,5.05,0.86,0.18
67,1975,7.8,70.4,23.6,14.9,4.6,7.1,4.1,5.94,4.83,0.89,0.22
67,1980,7.5,65.5,30.7,20.7,6.3,6.4,3.6,6.53,5.26,1.07,0.2
67,1985,7.2,64.1,25,20.3,6,8.5,4.8,6.56,5.14,1.16,0.27
67,1990,5.2,56.3,34.5,26.2,7.8,12.2,6.9,7.8,5.86,1.55,0.38
68,1960,24.9,32.5,8.6,38.4,12.9,4.2,2.8,5.97,3.79,2.04,0.14
68,1965,31.9,31.8,8.2,31.9,11,4.4,3,5.29,3.38,1.76,0.15
68,1970,33.6,34.7,8.8,26.8,9.7,4.9,3.3,4.93,3.21,1.56,0.16
68,1975,34.1,36.8,9.1,22.3,8.7,6.8,4.6,4.82,3.12,1.47,0.23
68,1980,33.7,38.2,9.2,19.4,7.2,8.7,5.8,4.84,3.11,1.44,0.29
68,1985,32.1,39.2,9.3,18.2,6.5,10.5,7.1,5.02,3.18,1.49,0.35
68,1990,30.6,42.8,10,14.3,5,12.3,8.2,5,3.18,1.41,0.41
69,1960,37.3,48.3,10.9,11.3,2.6,3.2,2.2,3.06,2.2,0.75,0.11
69,1965,38.8,48.1,12.4,10.3,2.6,3,2.1,2.98,2.18,0.7,0.1
69,1970,38.6,49.1,19.8,10,3.4,3,2.1,3.19,2.37,0.71,0.1
69,1975,29.4,59.8,4.6,5.4,1.7,5.4,3.8,2.98,2.15,0.65,0.18
69,1980,30.6,57.2,5.2,6.6,2,5.9,4.2,3.12,2.19,0.74,0.2
69,1985,33.1,55.4,10.3,4.4,1.2,7.2,5.1,3.18,2.22,0.72,0.24
69,1990,22.4,65.9,14.7,4,1.1,7.7,5.5,3.59,2.6,0.73,0.26
70,1960,18.5,55.6,21.8,22.9,11.6,3,2,5.19,3.88,1.22,0.1
70,1965,17.3,58.3,17.6,21,9.2,3.4,2.3,4.96,3.74,1.11,0.11
70,1970,11.4,56.7,15.1,26.7,10.4,5.2,3.5,5.67,4.07,1.43,0.17
70,1975,8.4,60.7,15.4,24.5,8.7,6.4,4.3,5.73,4.14,1.38,0.21
70,1980,8.7,56.3,14.1,26.7,8.8,8.6,5.8,6.1,4.23,1.58,0.29
70,1985,7.6,58.2,14.4,24.4,7.5,9.9,6.6,6.12,4.23,1.55,0.33
70,1990,7.1,58.4,14.4,23.2,6.7,11.4,7.7,6.22,4.26,1.58,0.38
71,1960,31.9,53.2,12.2,11.9,2.9,3,2,3.19,2.38,0.71,0.1
71,1965,35,51.8,12.3,10.2,2.5,2.9,2,3,2.26,0.64,0.1
71,1970,37.2,50,12.1,9.5,2.4,3.2,2.2,2.92,2.19,0.62,0.11
71,1975,21,55.8,13.7,18.3,4.8,4.9,3.3,4.18,2.9,1.12,0.16
71,1980,24.8,54.2,13.3,14.9,3.6,6.1,4.1,3.98,2.74,1.04,0.2
71,1985,24.5,54.8,13.4,13.3,2.9,7.4,5,4.02,2.74,1.03,0.25
71,1990,27.2,52.8,12.9,11.3,1.8,8.7,5.8,3.94,2.64,1.01,0.29
72,1960,32,58,14,7.7,2.7,2.3,1.6,3.3,2.76,0.45,0.08
72,1965,34.3,56.4,15.4,6.6,2.4,2.7,1.8,3.24,2.71,0.43,0.09
72,1970,34.7,56.1,17.6,6.1,2.4,3.2,2.2,3.31,2.76,0.44,0.11
72,1975,26.9,57.7,24.8,10.6,4.8,4.7,3.2,4.3,3.39,0.75,0.16
72,1980,21.1,54.3,37.1,15,7.1,9.6,6.5,5.78,4.22,1.24,0.32
72,1985,20.9,53.5,21.9,8.4,3.3,17.1,11.5,5.75,3.79,1.38,0.57
72,1990,21.1,51.9,15.8,4.9,1.2,22.1,14.8,5.9,3.65,1.51,0.74
73,1960,8.4,86.5,19.9,4.4,1.3,0.8,0.5,3.72,3.5,0.2,0.03
73,1965,7.9,83.4,19.1,8.2,2.1,0.6,0.4,3.95,3.61,0.32,0.02
73,1970,8.1,79.6,18.3,10.6,2,1.6,1.1,4.17,3.67,0.44,0.05
73,1975,7.7,71.5,16.3,18.8,3.6,1.9,1.3,4.67,3.88,0.73,0.06
73,1980,5.5,72.8,16.5,19.2,3.4,2.7,1.9,4.87,3.99,0.78,0.09
73,1985,7.2,65.4,14.8,24.6,3.8,2.8,1.9,5.1,4.05,0.95,0.09
73,1990,9.3,57.6,13.1,30.5,4.4,2.6,1.8,5.33,4.11,1.13,0.09
74,1960,18.4,70.5,17.3,8.9,3.3,2,1.5,3.84,3.29,0.49,0.07
74,1965,18.3,71.4,15.5,8.1,3.2,2.2,1.7,3.78,3.23,0.47,0.08
74,1970,13.4,71.8,10,11.8,5.3,3.1,2.4,4.15,3.34,0.7,0.11
74,1975,15.1,71,17.8,10.4,4.2,3.4,2.7,4.26,3.5,0.64,0.12
74,1980,10.4,68,15.5,17.2,6.4,4.3,3.3,4.92,3.8,0.97,0.15
74,1985,9.9,69.8,16.6,14.8,5.1,5.5,4.2,4.93,3.81,0.93,0.19
74,1990,10.6,69.2,16.6,13.8,4.5,6.5,4.9,4.95,3.79,0.94,0.23
75,1960,29.2,55.5,14.2,11.5,4.6,3.8,2.6,3.77,3.01,0.63,0.13
75,1965,31.3,54.3,14.9,10.2,4.5,4.2,2.8,3.69,2.94,0.61,0.14
75,1970,22.4,55.6,18.5,15.9,8.2,6,4.1,4.68,3.54,0.94,0.2
75,1975,25.4,52.9,16.6,13.9,6.4,7.7,5.2,4.57,3.38,0.93,0.26
75,1980,13.7,49.2,18.9,24.5,11.7,12.5,8.4,6.28,4.27,1.6,0.42
75,1985,14.5,51.8,15.2,18.6,7.7,15,10.1,5.99,4.03,1.46,0.5
75,1990,13.8,54.6,14.1,13.1,4.3,18.4,12.4,5.97,3.95,1.4,0.62
77,1960,11.6,65.7,17.7,19.1,3.5,3.6,2.4,5.03,3.86,1.05,0.12
77,1965,13.7,69.5,22.6,12.5,2.5,4.3,2.8,4.73,3.77,0.81,0.14
77,1970,15.6,61.8,19.5,17.6,2.9,5,3.3,5.03,3.8,1.06,0.17
77,1975,9.4,66.5,27.9,18.2,2.9,5.8,3.8,5.6,4.27,1.13,0.19
